Age_Range,Industry,Job_Title,Annual_Salary,Additional_Monetary_Compensation,Currency,Other_Currency,Country,State/Province,City,Total _Years_of _Professional_Experience,Total_Years_of_Professional_Field_Experience,Highest_Education,Gender
25-34,"ACCOUNTING, BANKING & FINANCE",Financial Manager,115000,1500,USD,NA,United States,Maryland,Laurel,11 - 20 years,11 - 20 years,College Degree,Woman
18-24,COMPUTING OR TECH,Intern,62000,2000,USD,NA,United States,Maryland,Laurel,2 - 4 years,1 year or less,Some College,Woman
35-44,UTILITIES & TELECOMMUNICATIONS,Network Architect,165000,17000,USD,NA,United States,Maryland,Laurel,21 - 30 years,11 - 20 years,College Degree,Woman
25-34,COMPUTING OR TECH,Senior Software Engineer,80000,0,CHF,NA,Switzerland,Unknown,Lausanne,2 - 4 years,2 - 4 years,Master'S Degree,Woman
25-34,COMPUTING OR TECH,Site Reliability Engineer,82500,6000,CHF,NA,Switzerland,Unknown,Lausanne,5-7 years,2 - 4 years,Master'S Degree,Woman
25-34,ART & DESIGN,Art Director,49000,600,USD,NA,United States,Kansas,Lawrence,2 - 4 years,2 - 4 years,College Degree,Man
35-44,EDUCATION (HIGHER EDUCATION),Associate Professor,76800,8000,USD,NA,United States,Kansas,Lawrence,11 - 20 years,11 - 20 years,PH.D.,Woman
25-34,NONPROFITS,Development Assistant,38300,0,USD,NA,United States,Kansas,Lawrence,2 - 4 years,2 - 4 years,College Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Financial Analyst Intermediate,65000,0,USD,NA,United States,Kansas,Lawrence,11 - 20 years,11 - 20 years,College Degree,Woman
25-34,COMPUTING OR TECH,IT Technology Specialist,42200,2000,USD,NA,United States,Kansas,Lawrence,11 - 20 years,5-7 years,College Degree,Woman
25-34,LAW,Lawyer,67500,2000,USD,NA,United States,Massachusetts,Lawrence,8 - 10 years,8 - 10 years,PH.D.,Woman
18-24,NONPROFITS,Library Assistant,33000,200,USD,NA,United States,Kansas,Lawrence,8 - 10 years,5-7 years,College Degree,Non-binary
35-44,EDUCATION (HIGHER EDUCATION),Systems Engineer,70500,0,USD,NA,United States,Kansas,Lawrence,11 - 20 years,11 - 20 years,Master'S Degree,Man
45-54,EDUCATION (HIGHER EDUCATION),Transit Analyst,40000,0,USD,NA,United States,Kansas,Lawrence,21 - 30 years,21 - 30 years,College Degree,Woman
25-34,LIBRARY,Youth Services Outreach Assistant,36192,0,USD,NA,United States,Kansas,Lawrence,2 - 4 years,1 year or less,Master'S Degree,Man
18-24,ENGINEERING OR MANUFACTURING,Process Tech,39000,1560,USD,NA,United States,Kansas,Lawrence,2 - 4 years,1 year or less,Some College,Non-binary
45-54,SALES,Sales Representative,85000,1000,USD,NA,United States,Kentucky,Lawrenceburg,21 - 30 years,5-7 years,Master'S Degree,Woman
18-24,HEALTH CARE,Intern,30000,2000,USD,NA,United States,Georgia,Lawrenceville,2 - 4 years,2 - 4 years,Some College,Man
45-54,NONPROFITS,Prevention And Administrative Support Specialist,32000,2000,USD,NA,United States,New Jersey,Lawrenceville,21 - 30 years,11 - 20 years,College Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Environmental Engineer,66600,1200,USD,NA,United States,Georgia,Lawrenceville,8 - 10 years,8 - 10 years,College Degree,Woman
25-34,"MARKETING, ADVERTISING & PR",Public Relations Manager,81000,2000,USD,NA,United States,Georgia,Lawrenceville,5-7 years,5-7 years,Master'S Degree,Woman
above 64,EDUCATION (HIGHER EDUCATION),Associate Professor-Librarian,91000,7000,USD,NA,United States,New Jersey,"Lawrenceville, Nj",21 - 30 years,11 - 20 years,Master'S Degree,Woman
25-34,HEALTH CARE,Study Operations Manager,115000,2000,USD,NA,United States,Pennsylvania,"Lawrenceville, Nj",11 - 20 years,5-7 years,College Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Assistant Professor (Tenure-Track),44800,3000,USD,NA,United States,Oklahoma,Lawton,8 - 10 years,8 - 10 years,PH.D.,Non-binary
45-54,HEALTHCARE INFORMATION TECHNOLOGY,Clinical Informatics,63000,0,USD,NA,United States,Oklahoma,Lawton,11 - 20 years,8 - 10 years,College Degree,Woman
35-44,RECRUITMENT OR HR,Chief HR  Officer,150000,0,USD,NA,United States,Utah,Layton,11 - 20 years,8 - 10 years,College Degree,Woman
25-34,BUSINESS OR CONSULTING,ERP System Analyst,88000,10000,USD,NA,United States,Utah,Layton,8 - 10 years,8 - 10 years,Master'S Degree,Man
35-44,ENGINEERING OR MANUFACTURING,Engineering Manager,100000,5000,USD,NA,United States,Unknown,Le Center,11 - 20 years,11 - 20 years,College Degree,Man
45-54,BUSINESS OR CONSULTING,Senior Specialist,97500,10000,USD,NA,United States,Colorado,Leadville,11 - 20 years,8 - 10 years,College Degree,Woman
25-34,"ACCOUNTING, BANKING & FINANCE",Director Of Investment Accounting,107500,2000,USD,NA,United States,Texas,League City,8 - 10 years,8 - 10 years,Master'S Degree,Other \ prefer not to answer
25-34,COMPUTING OR TECH,Engineering Team Lead,66000,5000,GBP,NA,United Kingdom,Unknown,Leamington Spa,11 - 20 years,11 - 20 years,College Degree,Man
45-54,ENTERTAINMENT,Finance Director,60000,2000,GBP,NA,United Kingdom,Unknown,Leamington Spa,21 - 30 years,21 - 30 years,College Degree,Man
25-34,HEALTH CARE,Psychologist,92000,0,USD,NA,United States,Kansas,Leavenworth,5-7 years,5-7 years,PH.D.,Woman
25-34,PROPERTY OR CONSTRUCTION,Billing Specialist,40000,2000,USD,NA,United States,Kansas,Leawood,2 - 4 years,2 - 4 years,College Degree,Woman
25-34,EDUCATION (PRIMARY/SECONDARY),Chief Process Officer,57000,2000,USD,NA,United States,Kansas,Leawood,11 - 20 years,11 - 20 years,College Degree,Woman
18-24,ART & DESIGN,Design Assistant,47840,2000,USD,NA,United States,Kansas,Leawood,2 - 4 years,2 - 4 years,College Degree,Woman
25-34,"MARKETING, ADVERTISING & PR",Digital Marketing Manager,70000,8000,USD,NA,United States,Kansas,Leawood,8 - 10 years,5-7 years,College Degree,Woman
25-34,INSURANCE,Underwriter,60000,5400,USD,NA,United States,Kansas,Leawood,11 - 20 years,8 - 10 years,College Degree,Woman
45-54,RETAIL,Assistant Buyer,55000,2500,USD,NA,United States,Tennessee,Lebanon,5-7 years,2 - 4 years,College Degree,Woman
25-34,HEALTH CARE,Healthcare Data Analyst,66913,0,USD,NA,United States,New Hampshire,Lebanon,11 - 20 years,2 - 4 years,Master'S Degree,Woman
35-44,HOSPITALITY & EVENTS,Prep Cook,20800,2000,USD,NA,United States,Missouri,Lebanon,11 - 20 years,8 - 10 years,High School,Woman
18-24,RESEARCH,Research Assistant,42000,0,USD,NA,United States,New Hampshire,Lebanon,2 - 4 years,2 - 4 years,College Degree,Woman
35-44,COMPUTING OR TECH,Software Quality Assurance Manager,112000,0,USD,NA,United States,New Hampshire,Lebanon,11 - 20 years,11 - 20 years,College Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Administrative Assistant IV,45760,0,USD,NA,United States,New Hampshire,Lebanon,21 - 30 years,11 - 20 years,Master'S Degree,Woman
25-34,LAW,Conflicts Analyst,26000,1000,GBP,NA,"England,United Kingdom",England,Leeds,8 - 10 years,1 year or less,College Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Faculty Pa,23750,0,GBP,NA,"England,United Kingdom",England,Leeds,11 - 20 years,11 - 20 years,Master'S Degree,Non-binary
25-34,"ACCOUNTING, BANKING & FINANCE",Lead Administrator,26000,1000,GBP,NA,"England,United Kingdom",England,Leeds,8 - 10 years,5-7 years,College Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Library Metadata Specialist,24000,0,GBP,NA,"England,United Kingdom",England,Leeds,5-7 years,2 - 4 years,College Degree,Woman
35-44,BUSINESS PROCESS OUTSOURCING,Project Manager,40000,5400,GBP,NA,"England,United Kingdom",England,Leeds,11 - 20 years,2 - 4 years,Master'S Degree,Woman
25-34,COMPUTING OR TECH,Project Manager,32000,500,GBP,NA,"England,United Kingdom",England,Leeds,5-7 years,2 - 4 years,College Degree,Woman
35-44,ENTERTAINMENT,Senior Devops Engineer,70000,2000,GBP,NA,"England,United Kingdom",England,Leeds,11 - 20 years,11 - 20 years,College Degree,Non-binary
45-54,FOOD PRODUCTION/PROCESSING,Laboratory Technician,29000,2000,GBP,NA,Great Britain,Unknown,Leeds,21 - 30 years,11 - 20 years,Some College,Woman
35-44,PROPERTY OR CONSTRUCTION,Administrator,24000,500,GBP,NA,United Kingdom,Unknown,Leeds,11 - 20 years,5-7 years,College Degree,Woman
35-44,FOOD AND BEVERAGE,Brewer,20000,1000,GBP,NA,United Kingdom,Unknown,Leeds,11 - 20 years,2 - 4 years,Master'S Degree,Man
25-34,EDUCATION (HIGHER EDUCATION),Career Adviser,26000,0,GBP,NA,United Kingdom,Unknown,Leeds,8 - 10 years,2 - 4 years,College Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Career Consultant,39000,0,GBP,NA,United Kingdom,Unknown,Leeds,11 - 20 years,11 - 20 years,PH.D.,Woman
25-34,LAW,Client Data Analyst,24000,1000,GBP,NA,United Kingdom,Unknown,Leeds,5-7 years,2 - 4 years,College Degree,Other \ prefer not to answer
35-44,HEALTH CARE,Clinical Technologist Team Leader,44500,2000,GBP,NA,United Kingdom,Unknown,Leeds,11 - 20 years,11 - 20 years,College Degree,Woman
35-44,COMPUTING OR TECH,Cloud Architect,63000,0,GBP,NA,United Kingdom,Unknown,Leeds,11 - 20 years,11 - 20 years,College Degree,Man
25-34,NONPROFITS,Communications Officer,31150,2000,GBP,NA,United Kingdom,Unknown,Leeds,11 - 20 years,1 year or less,PH.D.,Woman
45-54,FOOD MANUFACTURERS,Consumer Care Associate,22000,0,GBP,NA,United Kingdom,Unknown,Leeds,21 - 30 years,11 - 20 years,College Degree,Woman
25-34,"MARKETING, ADVERTISING & PR",Consumer Insight Director,52000,2000,GBP,NA,United Kingdom,Unknown,Leeds,11 - 20 years,8 - 10 years,College Degree,Woman
25-34,HEALTH CARE,Corporate PA (Physician Assistant),21500,0,GBP,NA,United Kingdom,Unknown,Leeds,8 - 10 years,1 year or less,Master'S Degree,Woman
35-44,NONPROFITS,Debt Advisor,20000,2000,GBP,NA,United Kingdom,Unknown,Leeds,11 - 20 years,5-7 years,Master'S Degree,Woman
25-34,COMPUTING OR TECH,Development Team Lead,55000,3100,GBP,NA,United Kingdom,Unknown,Leeds,8 - 10 years,8 - 10 years,College Degree,Man
25-34,"MARKETING, ADVERTISING & PR",Digital PR & Content Executive,28000,0,GBP,NA,United Kingdom,Unknown,Leeds,5-7 years,5-7 years,College Degree,Woman
35-44,ENGINEERING OR MANUFACTURING,Director,52500,3000,GBP,NA,United Kingdom,Unknown,Leeds,11 - 20 years,11 - 20 years,Master'S Degree,Man
25-34,ENGINEERING OR MANUFACTURING,Financial Controller,39000,800,GBP,NA,United Kingdom,Unknown,Leeds,8 - 10 years,8 - 10 years,"Professional Degree (MD, Jd, Etc.)",Man
35-44,COMPUTING OR TECH,Head Of Product,80000,2000,GBP,NA,United Kingdom,Unknown,Leeds,21 - 30 years,11 - 20 years,College Degree,Man
35-44,RETAIL,IT Mac Lead,42500,1000,GBP,NA,United Kingdom,Unknown,Leeds,21 - 30 years,21 - 30 years,College Degree,Man
25-34,HEALTH CARE,Lead Clinical Scientist,48526,0,GBP,NA,United Kingdom,Unknown,Leeds,8 - 10 years,8 - 10 years,Master'S Degree,Man
35-44,EDUCATION (HIGHER EDUCATION),Lecturer,35000,2000,GBP,NA,United Kingdom,Unknown,Leeds,11 - 20 years,5-7 years,Master'S Degree,Woman
25-34,"MARKETING, ADVERTISING & PR",Marketing Executive,27950,0,GBP,NA,United Kingdom,Unknown,Leeds,8 - 10 years,8 - 10 years,College Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Metadata Specialist,24461,2000,GBP,NA,United Kingdom,Unknown,Leeds,11 - 20 years,11 - 20 years,Master'S Degree,Woman
25-34,"ACCOUNTING, BANKING & FINANCE",Mortgage Consultant,21000,1000,GBP,NA,United Kingdom,Unknown,Leeds,2 - 4 years,2 - 4 years,College Degree,Woman
18-24,GOVERNMENT AND PUBLIC ADMINISTRATION,Policy Advisor,31500,2000,GBP,NA,United Kingdom,Unknown,Leeds,1 year or less,1 year or less,College Degree,Woman
25-34,NONPROFITS,Policy Manager,26000,2000,GBP,NA,United Kingdom,Unknown,Leeds,2 - 4 years,2 - 4 years,Master'S Degree,Woman
25-34,"MARKETING, ADVERTISING & PR",PPC Consultant,26000,0,GBP,NA,United Kingdom,Unknown,Leeds,5-7 years,5-7 years,Master'S Degree,Non-binary
35-44,ENGINEERING OR MANUFACTURING,Principal Safety Engineer,60500,0,GBP,NA,United Kingdom,Unknown,Leeds,11 - 20 years,2 - 4 years,Master'S Degree,Other \ prefer not to answer
35-44,MEDIA & DIGITAL,Project Manager,70000,2000,GBP,NA,United Kingdom,Unknown,Leeds,11 - 20 years,11 - 20 years,High School,Woman
35-44,"ACCOUNTING, BANKING & FINANCE",Project Manager,52000,2000,GBP,NA,United Kingdom,Unknown,Leeds,11 - 20 years,11 - 20 years,College Degree,Woman
25-34,HEALTH CARE,Research Assisstant,22500,2000,GBP,NA,United Kingdom,Unknown,Leeds,5-7 years,2 - 4 years,College Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Research Manager,41250,0,GBP,NA,United Kingdom,Unknown,Leeds,5-7 years,2 - 4 years,PH.D.,Woman
25-34,RETAIL,Senior Accountant,38000,2000,GBP,NA,United Kingdom,Unknown,Leeds,8 - 10 years,2 - 4 years,College Degree,Woman
35-44,"ACCOUNTING, BANKING & FINANCE",Senior Audit Manager,59000,7000,GBP,NA,United Kingdom,Unknown,Leeds,11 - 20 years,11 - 20 years,PH.D.,Woman
35-44,GOVERNMENT & PUBLIC ADMINISTRATION,Senior Knowledge And Evidence Lead,36819,0,GBP,NA,United Kingdom,Unknown,Leeds,8 - 10 years,8 - 10 years,Master'S Degree,Man
25-34,NONPROFITS,Services Manager,29000,2000,GBP,NA,United Kingdom,Unknown,Leeds,11 - 20 years,8 - 10 years,College Degree,Non-binary
18-24,COMPUTING OR TECH,Software Developer,30000,1000,GBP,NA,United Kingdom,Unknown,Leeds,2 - 4 years,2 - 4 years,College Degree,Man
25-34,LAW,Solicitor,47000,0,GBP,NA,United Kingdom,Unknown,Leeds,5-7 years,5-7 years,College Degree,Man
25-34,GOVERNMENT AND PUBLIC ADMINISTRATION,Statistician,49250,2000,GBP,NA,United Kingdom,Unknown,Leeds,2 - 4 years,2 - 4 years,Master'S Degree,Woman
25-34,UTILITIES & TELECOMMUNICATIONS,Streetworks Manager,40000,3000,GBP,NA,United Kingdom,Unknown,Leeds,2 - 4 years,2 - 4 years,Some College,Woman
35-44,COMPUTING OR TECH,Technical Lead,66000,0,GBP,NA,United Kingdom,Unknown,Leeds,11 - 20 years,11 - 20 years,College Degree,Non-binary
25-34,"MARKETING, ADVERTISING & PR",Marketing Project Manager,40000,2000,GBP,NA,United Kingdom,Unknown,Leeds,8 - 10 years,8 - 10 years,College Degree,Woman
25-34,LAW,Trainee Solicitor,24000,2000,GBP,NA,"England,United Kingdom",England,Leeds,2 - 4 years,2 - 4 years,Master'S Degree,Woman
25-34,GOVERNMENT  & PUBLIC ADMINISTRATION,Casework Assistant,18500,2000,GBP,NA,United Kingdom,Unknown,Leeds,5-7 years,1 year or less,Master'S Degree,Woman
25-34,"MARKETING, ADVERTISING & PR",Communications Executive,22330,0,GBP,NA,United Kingdom,Unknown,Leeds,2 - 4 years,2 - 4 years,College Degree,Woman
35-44,CHARITY,Community Centre Coordinator,17400,0,GBP,NA,United Kingdom,Unknown,Leeds,5-7 years,5-7 years,Some College,Woman
25-34,EDUCATION (HIGHER EDUCATION),Payroll And Data Specialist,25941,250,GBP,NA,"England,United Kingdom",England,Leeds,8 - 10 years,8 - 10 years,College Degree,Woman
25-34,PUBLIC LIBRARY,Youth Services Associate,26587,0,USD,NA,United States,Missouri,Lee'S Summit,5-7 years,5-7 years,Master'S Degree,Woman
55-64,MEDIA & DIGITAL,Data Analyst,48000,300,USD,NA,United States,Missouri,Lee'S Summit,8 - 10 years,11 - 20 years,High School,Woman
25-34,LAW ENFORCEMENT & SECURITY,Dispatcher,70000,2000,USD,NA,United States,Virginia,Leesburg,5-7 years,2 - 4 years,College Degree,Woman
35-44,LAW ENFORCEMENT & SECURITY,Investigator,100000,5000,USD,NA,United States,Virginia,Leesburg,11 - 20 years,11 - 20 years,College Degree,Woman
35-44,HEALTH CARE,Occupational Therapist,88500,2000,USD,NA,United States,Virginia,Leesburg,11 - 20 years,5-7 years,Master'S Degree,Woman
55-64,HEALTH CARE,Registered Nurse Case Manager,92000,1000,USD,NA,United States,Virginia,Leesburg,31 - 40 years,8 - 10 years,College Degree,Woman
55-64,NONPROFITS,Senior Editor,72000,2500,USD,NA,United States,Virginia,Leesburg,21 - 30 years,11 - 20 years,College Degree,Woman
25-34,HEALTH CARE,Practice Manager,40000,0,USD,NA,United States,Florida,Leesburg,8 - 10 years,8 - 10 years,College Degree,Man
45-54,TRANSPORT OR LOGISTICS,School Bus Driver Instructor,80000,2000,USD,NA,United States,Virginia,Leesburg,11 - 20 years,11 - 20 years,Some College,Woman
25-34,GOVERNMENT CONTRACTOR,Project Manager,90000,2000,USD,NA,United States,Virginia,Leesburg Va,5-7 years,5-7 years,Master'S Degree,Woman
45-54,COMPUTING OR TECH,Data Scientist,135000,50000,USD,NA,United States,Utah,Lehi,21 - 30 years,2 - 4 years,Master'S Degree,Man
25-34,COMPUTING OR TECH,Front End Web Developer,85000,10200,USD,NA,United States,Utah,Lehi,2 - 4 years,2 - 4 years,College Degree,Woman
35-44,COMPUTING OR TECH,Product Manager,110000,2000,USD,NA,United States,Utah,Lehi,11 - 20 years,5-7 years,Master'S Degree,Woman
35-44,MARKET RESEARCH,Project Manager,47500,4500,USD,NA,United States,Utah,Lehi,11 - 20 years,5-7 years,College Degree,Woman
35-44,COMPUTING OR TECH,QA( Quality Assurance)  And Testing Analyst Ii,56271,3300,USD,NA,United States,Utah,Lehi,8 - 10 years,5-7 years,College Degree,Woman
35-44,COMPUTING OR TECH,Senior Engineer,150000,80000,USD,NA,United States,Utah,Lehi,11 - 20 years,11 - 20 years,College Degree,Man
45-54,"ACCOUNTING, BANKING & FINANCE",Senior Frontend Developer,140000,2000,USD,NA,United States,Utah,Lehi,11 - 20 years,11 - 20 years,Some College,Man
45-54,"MARKETING, ADVERTISING & PR","Senior Manager, Marketing",105000,2000,USD,NA,United States,Utah,Lehi,11 - 20 years,8 - 10 years,College Degree,Woman
35-44,COMPUTING OR TECH,Solution Architect III,95000,2500,USD,NA,United States,Utah,Lehi,21 - 30 years,8 - 10 years,Master'S Degree,Woman
45-54,COMPUTING OR TECH,Technical Writer,50000,2000,USD,NA,United States,Utah,Lehi,8 - 10 years,1 year or less,College Degree,Woman
35-44,COMPUTING OR TECH,Technical Writer,54000,0,USD,NA,United States,Utah,Lehi,11 - 20 years,5-7 years,College Degree,Woman
35-44,"MARKETING, ADVERTISING & PR",Vice President Services,90000,2000,USD,NA,United States,Utah,Lehi,11 - 20 years,8 - 10 years,Master'S Degree,Woman
25-34,COMPUTING OR TECH,Web Developer,75000,0,USD,NA,United States,Utah,Lehi,5-7 years,5-7 years,College Degree,Man
25-34,ENGINEERING OR MANUFACTURING,Controls Engineer,82000,5000,USD,NA,United States,Pennsylvania,Lehigh Valley,2 - 4 years,1 year or less,College Degree,Woman
25-34,TRANSPORT OR LOGISTICS,Senior Customer Service Lead,47840,0,USD,NA,United States,Pennsylvania,Lehigh Valley,8 - 10 years,5-7 years,College Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Senior Project Manager,105000,7500,USD,NA,United States,Pennsylvania,Lehigh Valley,8 - 10 years,2 - 4 years,College Degree,Woman
25-34,EDUCATION (PRIMARY/SECONDARY),Teacher,83000,0,USD,NA,United States,Pennsylvania,Lehigh Valley,11 - 20 years,11 - 20 years,Master'S Degree,Woman
55-64,GOVERNMENT & PUBLIC ADMINISTRATION,Secretary,38404,2000,USD,NA,United States,Pennsylvania,Lehighton,31 - 40 years,21 - 30 years,Some College,Woman
25-34,EDUCATION (HIGHER EDUCATION),Accounts Payable Supervisor,27500,0,GBP,NA,"England,United Kingdom",England,Leicester,11 - 20 years,11 - 20 years,Some College,Man
25-34,SOCIAL WORK,Consultant Social Worker,43000,0,GBP,NA,"England,United Kingdom",England,Leicester,8 - 10 years,8 - 10 years,Master'S Degree,Woman
35-44,UTILITIES & TELECOMMUNICATIONS,Front And Back Office Manager,28000,2000,GBP,NA,"England,United Kingdom",England,Leicester,11 - 20 years,8 - 10 years,High School,Woman
18-24,HOSPITALITY & EVENTS,Catering Assistant,18000,0,GBP,NA,United Kingdom,Unknown,Leicester,2 - 4 years,1 year or less,College Degree,Man
25-34,LAW,Immigration Caseworker,22800,0,GBP,NA,United Kingdom,Unknown,Leicester,8 - 10 years,2 - 4 years,Some College,Woman
45-54,FOOD MANUFACTURE,Platform Lead,63000,0,GBP,NA,United Kingdom,Unknown,Leicester,21 - 30 years,21 - 30 years,PH.D.,Man
35-44,HEALTH CARE,Quality Manager,43500,8000,GBP,NA,United Kingdom,Unknown,Leicester,21 - 30 years,2 - 4 years,College Degree,Woman
18-24,ENGINEERING  OR MANUFACTURING,Administration And Logistics Support Assistant,16000,0,GBP,NA,"England,United Kingdom",England,Leicester,1 year or less,1 year or less,Some College,Woman
35-44,HEALTH CARE,Administrative Team Lead,25000,0,GBP,NA,United Kingdom,Unknown,Leicester,11 - 20 years,11 - 20 years,High School,Woman
