City,Industry,Average_Salary
Bloomington,"EDUCATIONAL TECHNOLOGY - HYBRID BETWEEN BOOK PUBLISHING AND TECHNOLOGY REALLY",67000.0000
Bloomington,"ART & DESIGN",67000.0000
Bloomington,"ENGINEERING OR MANUFACTURING",57845.0000
Bloomington,"MARKETING, ADVERTISING & PR",54075.0000
Bloomington,PHARMACEUTICAL,50000.0000
Bloomington,"EDUCATION (HIGHER EDUCATION)",47486.4545
Bloomington,"EDUC TECH",42000.0000
Bloomington,"RECRUITMENT OR HR",40000.0000
Bloomington,"PROPERTY OR CONSTRUCTION",38000.0000
"Bloomington, Il","EDUCATION (HIGHER EDUCATION)",48000.0000
"Bloomington, In",LIBRARIES,42000.0000
"Blue Bell","HEALTH CARE",75000.0000
"Blue Bell",INSURANCE,74000.0000
Bluffdale,RETAIL,56000.0000
Bluffton,"EDUCATION (PRIMARY/SECONDARY)",54000.0000
Bluffton,"EDUCATION (HIGHER EDUCATION)",37926.0000
Boardman,"ENGINEERING OR MANUFACTURING",95000.0000
"Boca Chica","ENGINEERING OR MANUFACTURING",76000.0000
"Boca Raton","COMPUTING OR TECH",165000.0000
"Boca Raton","RECRUITMENT OR HR",125000.0000
"Boca Raton","ACCOUNTING, BANKING & FINANCE",96642.0000
"Boca Raton","EDUCATION (HIGHER EDUCATION)",54000.0000
"Boca Raton","WEALTH ADVISOR RESEARCH",50000.0000
"Boca Raton","SOCIAL WORK",43000.0000
"Boca Raton","LIBRARY (ITS A NON-PROFIT AND ITS A GOVT JOB - HOW WOULD I LIST THAT? NOT ALL LIBRARIES ARE GOVT JOBS)",41394.0000
Boerne,RETAIL,23920.0000
Bogotá,"OIL & GAS",25000.0000
Bogotá,"ACCOUNTING, BANKING & FINANCE",15000.0000
Boh,"HEALTH CARE",8000.0000
Boise,RETAIL,119000.0000
Boise,"COMPUTING OR TECH",99586.0000
Boise,INSURANCE,91000.0000
Boise,"AGRICULTURE OR FORESTRY",88950.0000
Boise,"EDUCATION (HIGHER EDUCATION)",73516.6667
Boise,LAW,72000.0000
Boise,"HEALTH CARE",69784.8000
Boise,"GOVERNMENT & PUBLIC ADMINISTRATION",64500.0000
Boise,"UTILITIES & TELECOMMUNICATIONS",64303.0000
Boise,NONPROFITS,57640.8333
Boise,"ACCOUNTING, BANKING & FINANCE",54700.0000
Boise,"GOVERNMENT  & PUBLIC ADMINISTRATION",54000.0000
Boise,"EDUCATION (PRIMARY/SECONDARY)",53500.0000
Boise,"MEDIA & DIGITAL",53000.0000
Boise,"GOVERNMENT AND PUBLIC ADMINISTRATION",50953.3333
Boise,"MARKETING, ADVERTISING & PR",50000.0000
Boise,LIBRARY,48000.0000
Boise,"LANDSCAPE CONTRACTING",47840.0000
Boise,"ENGINEERING OR MANUFACTURING",40000.0000
"Boise-But Remote. Company Located In Boston","COMPUTING OR TECH",144000.0000
Bolingbrook,"ENGINEERING OR MANUFACTURING",60000.0000
Bolivar,"EDUCATION (HIGHER EDUCATION)",44000.0000
Bolton,"ENGINEERING OR MANUFACTURING",30000.0000
"Bonita Springs","ACCOUNTING, BANKING & FINANCE",60000.0000
Bonn,"UTILITIES & TELECOMMUNICATIONS",101000.0000
Bonn,"COMPUTING OR TECH",58000.0000
Bordeaux,LAW,41303.0000
Boron,"MINING/RESOURCE EXTRACTION",74568.0000
Boston,"RESEARCH SCIENTIST, PHARMA",175000.0000
Boston,"RENEWABLE ENERGY DEVELOPMENT",170000.0000
Boston,PHARMACEUTICAL,160000.0000
Boston,PHARMACEUTICALS,160000.0000
Boston,PHARMACUTICALS,160000.0000
Boston,PHARMA/BIOTECH,151500.0000
Boston,"AGRICULTURE OR FORESTRY",138800.0000
Boston,"I HAVE TWO JOBS. MARKETING / BUSINESS",135000.0000
Boston,BIOPHARMA,132000.0000
Boston,PHARMA,131000.0000
Boston,FINANCE,130000.0000
Boston,"COMPUTING OR TECH",125845.2692
Boston,"BUSINESS OR CONSULTING",117416.6667
Boston,"SOFTWARE PRODUCTS",115000.0000
Boston,BIOTECH,109500.0000
Boston,"ENGINEERING OR MANUFACTURING",109401.4103
Boston,BIOTECHNOLOGY,108500.0000
Boston,"BIO TECH",107250.0000
Boston,BIOTECH/PHARMA,107000.0000
Boston,LAW,106326.7097
Boston,BIOTECH/SOFTWARE,105000.0000
Boston,"UTILITIES & TELECOMMUNICATIONS",104737.7500
Boston,PHARMA/BIOTECHNOLOGY,104500.0000
Boston,SCIENTIST,103500.0000
Boston,INSURANCE,102606.8182
Boston,"ACCOUNTING, BANKING & FINANCE",100580.5294
Boston,"BIOTECH / RESEARCH",100000.0000
Boston,"GOVERNMENT  & PUBLIC ADMINISTRATION",99250.0000
Boston,"MARKETING, ADVERTISING & PR",95727.7857
Boston,"EDUCATIONAL TECHNOLOGY",95000.0000
Boston,"PHARMACEUTICAL RESEARCH",90000.0000
Boston,"PROPERTY OR CONSTRUCTION",89642.8571
Boston,SAAS,89000.0000
Boston,"HEALTH CARE",88698.6338
Boston,"GOVERNMENT AND PUBLIC ADMINISTRATION",86202.0556
Boston,"BIOTECHNOLOGY/LIFE SCIENCES",84000.0000
Boston,SALES,83500.0000
Boston,"LAB SCIENCE (BIOTECH)",83200.0000
Boston,"URBAN PLANNING",82500.0000
Boston,"MEDIA & DIGITAL",81337.0370
Boston,"GOVERNMENT & PUBLIC ADMINISTRATION",80600.0000
Boston,"BIOMEDICAL RESEARCH",80000.0000
Boston,"RECRUITMENT OR HR",78667.5000
Boston,HOSPITAL,77500.0000
Boston,NONPROFITS,77184.1146
Boston,"LIBRARIES & ARCHIVES",75000.0000
Boston,"EDUCATION (HIGHER EDUCATION)",74219.0612
Boston,"ART & DESIGN",74206.1538
Boston,"TRANSPORT OR LOGISTICS",74000.0000
Boston,"EDUCATION (PRIMARY/SECONDARY)",72968.8571
Boston,"PUBLIC HEALTH- STATE LEVEL",71989.0000
Boston,"PUBLIC HEALTH",71000.0000
Boston,"RENEWABLE ENERGY",71000.0000
Boston,PUBLISHING/EDTECH,69000.0000
Boston,RESEARCH,68681.0000
Boston,"GOVERNMENT RELATIONS",68000.0000
Boston,"PUBLIC HEALTH IN HIGHER EDUCATION",67000.0000
Boston,LIBRARIES,65000.0000
Boston,RETAIL,63033.3333
Boston,"PUBLIC LIBRARY",63000.0000
Boston,E-COMMERCE,61800.0000
Boston,"COMPUTING  OR TECH",61137.5000
Boston,"SOCIAL WORK",60666.6667
Boston,"CULTURAL HERITAGE",60500.0000
Boston,"BEER SALES",60000.0000
Boston,"REAL ESTATE",60000.0000
Boston,MORTGAGE,58000.0000
Boston,PUBLISHING,56391.6667
Boston,"MEDICAL RESEARCH",54500.0000
Boston,FUNDRAISING,53000.0000
Boston,"LIFE SCIENCES",50000.0000
Boston,"LAW ENFORCEMENT & SECURITY",49000.0000
Boston,"PET CARE INDUSTRY (DOG TRAINING/WALKING)",48500.0000
Boston,"MUSEUMS & ARCHIVES",43680.0000
Boston,AMERICORPS,15400.0000
"Boston (Greater Boston Metro Area)","COMPUTING OR TECH",144000.0000
"Boston (Somerville Specifically)",SALES,55000.0000
"Boston Area","UTILITIES & TELECOMMUNICATIONS",121500.0000
"Boston Area","MARKETING, ADVERTISING & PR",115000.0000
"Boston Area","COMPUTING OR TECH",111050.3333
"Boston Area","ENGINEERING OR MANUFACTURING",110000.0000
"Boston Area",BIOTECH,105000.0000
"Boston Area","GOVERNMENT &PUBLIC ADMINISTRATION",97000.0000
"Boston Area","GOVERNMENT AND PUBLIC ADMINISTRATION",95000.0000
"Boston Area",RETAIL,75000.0000
"Boston Area",NONPROFITS,72000.0000
"Boston Area","EDUCATION (HIGHER EDUCATION)",60000.0000
"Boston Area",LAW,54000.0000
"Boston Ma","CHURCH MINISTRY",55000.0000
"Boston Massachusetts","SOCIAL WORK",68000.0000
"Boston Metro","HEALTH CARE",82500.0000
"Boston Metro Area","COMPUTING OR TECH",180000.0000
"Boston Metro Area","ENGINEERING OR MANUFACTURING",149074.0000
"Boston Suburb",LAW,78000.0000
"Boston Suburbs",LIBRARY,70000.0000
"Boston Suburbs","EDUCATION (PRIMARY/SECONDARY)",54000.0000
"Boston, Ma","COMPUTING OR TECH",160000.0000
"Boston, Ma",PHARMA,147000.0000
"Boston, Ma",TECHNOLOGY,125000.0000
"Boston, Ma",SALES,104722.0000
"Boston, Ma","BUSINESS OR CONSULTING",88500.0000
"Boston, Ma","MEDIA & DIGITAL",85000.0000
"Boston, Ma",LAW,85000.0000
"Boston, Ma",LIBRARY,62500.0000
"Boston, Ma",NONPROFITS,61375.0000
"Boston, Ma","EDUCATION (HIGHER EDUCATION)",39000.0000
Boston(Ish),"LEISURE, SPORT & TOURISM",45000.0000
Boston/Cambridge,"COMPUTING OR TECH",62400.0000
Bothell,BIOTECH/PHARMA,145000.0000
Bothell,"COMPUTING OR TECH",143600.0000
Bothell,"HEALTH CARE",110000.0000
Bothell,"ENGINEERING OR MANUFACTURING",100000.0000
Bothell,LAW,40000.0000
Bothell,"LEISURE, SPORT & TOURISM",36962.0000
Boulder,"COMPUTING OR TECH",130515.7895
Boulder,"MARKETING, ADVERTISING & PR",110000.0000
Boulder,"ENGINEERING OR MANUFACTURING",109920.3333
Boulder,"PHYSICAL SCIENCES",103000.0000
Boulder,"SCIENCE PUBLISHING",103000.0000
Boulder,"ART & DESIGN",80000.0000
Boulder,NONPROFITS,79916.6667
Boulder,LIBRARY,74000.0000
Boulder,RETAIL,73100.0000
Boulder,"BUSINESS OR CONSULTING",67075.0000
Boulder,"EDUCATION (HIGHER EDUCATION)",66312.5000
Boulder,CANNABIS,65000.0000
Boulder,"PHARMACEUTICAL MANUFACTURING",64200.0000
Boulder,PUBLISHING,63000.0000
Boulder,ECOLOGY,54000.0000
Boulder,"ACCOUNTING, BANKING & FINANCE",54000.0000
Boulder,"GOVERNMENT AND PUBLIC ADMINISTRATION",53000.0000
Boulder,"MEDIA & DIGITAL",49000.0000
Boulder,"SOCIAL WORK",47000.0000
Boulder,"HEALTH CARE",41640.0000
"Boulder But We Are Remote",NONPROFITS,162000.0000
"Boulder City","UTILITIES & TELECOMMUNICATIONS",73330.0000
"Boulder, Co","COMPUTING OR TECH",140000.0000
Bountiful,LAW,50000.0000
Bournemouth,"COMPUTING OR TECH",49500.0000
Bournemouth,"HEALTH CARE",30000.0000
Bournemouth,"EDUCATION (HIGHER EDUCATION)",26500.0000
Bournemouth,"ACCOUNTING, BANKING & FINANCE",26500.0000
"Bowling Green","ENGINEERING OR MANUFACTURING",113000.0000
"Bowling Green",SOFTWARE,78000.0000
"Bowling Green","EDUCATION (HIGHER EDUCATION)",76000.0000
"Bowling Green","REAL ESTATE SERVICES",47500.0000
Bowmanville,RETAIL,30000.0000
Boxborough,"ENGINEERING OR MANUFACTURING",160000.0000
Boyertown,"COMPUTING OR TECH",65000.0000
"Boynton Beach",LAW,93000.0000
"Boynton Beach","ACCOUNTING, BANKING & FINANCE",33200.0000
Bozeman,"COMPUTING OR TECH",109000.0000
Bozeman,"LEISURE, SPORT & TOURISM",75000.0000
Bozeman,"ACCOUNTING, BANKING & FINANCE",69916.0000
Bozeman,"GOVERNMENT AND PUBLIC ADMINISTRATION",46000.0000
Bozeman,"HEALTH CARE",41600.0000
Bozeman,NONPROFITS,35360.0000
Bozeman,"EDUCATION (HIGHER EDUCATION)",35140.0000
"Bozeman, Mt","MARKETING, ADVERTISING & PR",185000.0000
Bracknell,RESEARCH,40000.0000
Bradenton,"COMPUTING OR TECH",160000.0000
Bradenton,"EDUCATION (PRIMARY/SECONDARY)",44631.6667
Bradford,"HEALTH CARE",72000.0000
Bradford,"SOCIAL WORK",55000.0000
Bradford,"COMPUTING OR TECH",40000.0000
Bradford,"EDUCATION (PRIMARY/SECONDARY)",39000.0000
Braine,PHARMA,65000.0000
Brainerd,"EDUCATION (HIGHER EDUCATION)",46000.0000
Braintree,"ACCOUNTING, BANKING & FINANCE",62400.0000
Braintree,"BUSINESS OR CONSULTING",62000.0000
Brambleton,"HEALTH CARE",40000.0000
Brampton,"GOVERNMENT & PUBLIC ADMINISTRATION",62000.0000
Brampton,"RECRUITMENT OR HR",57000.0000
Branchburg,"PROPERTY OR CONSTRUCTION",156800.0000
Brandon,RETAIL,27000.0000
Branford,PHARMACEUTICAL,43000.0000
Brantford,"ENGINEERING OR MANUFACTURING",101000.0000
Brantford,"LAW ENFORCEMENT & SECURITY",50000.0000
Bratislava,"COMPUTING OR TECH",140000.0000
Brattleboro,"AEROSPACE & DEFENSE MANUFACTURING",60000.0000
Brattleboro,NONPROFITS,43800.0000
Braunschweig,"COMPUTING OR TECH",51500.0000
Brea,"TRANSPORT OR LOGISTICS",67000.0000
"Brea Ca","ACCOUNTING, BANKING & FINANCE",42000.0000
Bremen,"BUSINESS OR CONSULTING",82000.0000
Bremerhaven,"HEALTH CARE",54870.0000
Bremerton,"GOVERNMENT AND PUBLIC ADMINISTRATION",86335.0000
Bremerton,"EDUCATION (HIGHER EDUCATION)",60000.0000
Bremerton,FITNESS,40000.0000
Brentwood,"HEALTH CARE",114000.0000
Brentwood,"ACCOUNTING, BANKING & FINANCE",78000.0000
Brentwood,"EDUCATION (PRIMARY/SECONDARY)",55232.0000
Brentwood,RETAIL,30000.0000
Brest,"COMPUTING OR TECH",20400.0000
Brewster,"MARKETING, ADVERTISING & PR",135400.0000
Brewster,VETERINARY,68640.0000
Brick,"ACCOUNTING, BANKING & FINANCE",77776.0000
Bridgend,"HEALTH CARE",150000.0000
Bridgeport,INSURANCE,155000.0000
Bridgeport,"HEALTH CARE",139000.0000
Bridgeport,"EDUCATION (PRIMARY/SECONDARY)",52903.0000
Bridgewater,"HEALTH CARE",175000.0000
Bridgewater,"MARKETING, ADVERTISING & PR",130000.0000
Bridgewater,"EDUCATION (HIGHER EDUCATION)",39000.0000
"Bridgewater, Nj","COMPUTING OR TECH",62000.0000
"Brigham City","ENGINEERING OR MANUFACTURING",74000.0000
Brighton,"BUSINESS OR CONSULTING",66850.0000
Brighton,"ACCOUNTING, BANKING & FINANCE",57000.0000
Brighton,"EDUCATION (HIGHER EDUCATION)",55000.0000
Brighton,"ENGINEERING OR MANUFACTURING",52200.0000
Brighton,"TRANSPORT OR LOGISTICS",51000.0000
Brighton,"COMPUTING OR TECH",49375.0000
Brighton,DIGITAL,42860.0000
Brighton,"MEDIA & DIGITAL",41333.3333
Brighton,"HEALTH CARE",30807.5000
Brighton,"LEISURE, SPORT & TOURISM",23000.0000
Brighton,"MARKETING, ADVERTISING & PR",22676.0000
Brighton,"RECRUITMENT OR HR",21000.0000
"Brighton & Hove","MARKETING, ADVERTISING & PR",34500.0000
"Brighton, Mi","ENVIRONMENTAL CONSULTING",52000.0000
Brisbane,"MEDIA & DIGITAL",140000.0000
Brisbane,"ENGINEERING OR MANUFACTURING",115850.0000
Brisbane,"EDUCATION (HIGHER EDUCATION)",109833.3333
Brisbane,"GOVERNMENT & PUBLIC ADMINISTRATION",106000.0000
Brisbane,"GOVERNMENT AND PUBLIC ADMINISTRATION",105862.0000
Brisbane,"TRANSPORT OR LOGISTICS",100000.0000
Brisbane,"COMPUTING OR TECH",98500.0000
Brisbane,"HEALTH CARE",98000.0000
Brisbane,"AGRICULTURE OR FORESTRY",90000.0000
Brisbane,NONPROFITS,85000.0000
Brisbane,RETAIL,85000.0000
Brisbane,MINING,83200.0000
Brisbane,"EDUCATION (PRIMARY/SECONDARY)",78531.0000
Brisbane,LAW,74000.0000
Brisbane,"ACCOUNTING, BANKING & FINANCE",73673.3333
Brisbane,"MEDICAL RESEARCH",69000.0000
Brisbane,"MARKETING, ADVERTISING & PR",57133.3333
Brisbane,ENTERTAINMENT,55000.0000
Brisbane,"HOSPITALITY & EVENTS",32000.0000
Bristol,MANUFACTURING,89000.0000
Bristol,ENTERTAINMENT,83500.0000
Bristol,"BUSINESS OR CONSULTING",61750.0000
Bristol,"COMPUTING OR TECH",56562.2727
Bristol,"GOVERNMENT & PUBLIC ADMINISTRATION",52000.0000
Bristol,"MEDIA & DIGITAL",51000.0000
Bristol,"UTILITIES & TELECOMMUNICATIONS",50000.0000
Bristol,"HEALTH CARE",49932.3333
Bristol,"ENGINEERING OR MANUFACTURING",46333.3333
Bristol,"GOVERNMENT AND PUBLIC ADMINISTRATION",45339.0000
Bristol,"EDUCATION (HIGHER EDUCATION)",39520.0000
Bristol,"EDUCATION (PRIMARY/SECONDARY)",38000.0000
Bristol,"NOT FOR PROFIT EDUCATION CONSULTANCY",36700.0000
Bristol,"ACCOUNTING, BANKING & FINANCE",34250.0000
Bristol,UNKNOWN,33000.0000
Bristol,NONPROFITS,32052.6667
Bristol,"GOVERNMENT  & PUBLIC ADMINISTRATION",31000.0000
Bristol,"PROPERTY OR CONSTRUCTION",27000.0000
Bristol,LAW,25000.0000
Bristol,"LAW ENFORCEMENT & SECURITY",24870.0000
Bristol,"TRANSPORT OR LOGISTICS",55.0000
"Bristol Uk","COMPUTING OR TECH",25881.0000
"Bristol, Uk","GOVERNMENT AND PUBLIC ADMINISTRATION",39000.0000
Bristow,"HEALTHCARE IT",106080.0000
"British Columbia",MINING,86500.0000
"British Columbia","GOVERNMENT AND PUBLIC ADMINISTRATION",84333.3333
"British Columbia","EDUCATION (PRIMARY/SECONDARY)",80000.0000
"British Columbia","AGRICULTURE OR FORESTRY",68500.0000
"British Columbia",NONPROFITS,59800.0000
"British Columbia (Not A City, But I Am Rural)",NONPROFITS,65000.0000
"British Columbia (Province)","EDUCATION (HIGHER EDUCATION)",106469.0000
Brittany,"TRANSPORT OR LOGISTICS",24000.0000
Brockton,"ENGINEERING OR MANUFACTURING",79600.0000
Brockville,"PUBLIC LIBRARY",47000.0000
Brockville,IMMIGRATION,43000.0000
Brockville,LAW,36000.0000
"Broken Arrow",ENTERTAINMENT,40500.0000
"Broken Arrow",RESTAURANT,38000.0000
"Broken Arrow","ENGINEERING  OR MANUFACTURING",37638.0000
"Broken Arrow","COMPUTING OR TECH",32747.0000
Bronx,LAW,89470.0000
Bronx,"EDUCATION (HIGHER EDUCATION)",85000.0000
Bronx,NONPROFITS,70000.0000
Bronx,"SOCIAL WORK",67500.0000
Bronx,"COMPUTING OR TECH",65000.0000
Bronx,"EDUCATION (PRIMARY/SECONDARY)",44000.0000
Brookfield,"COMPUTING OR TECH",120000.0000
Brookfield,NONPROFITS,60000.0000
Brookfield,"HEALTH CARE",46725.0000
Brookline,NONPROFITS,67500.0000
Brookline,"HEALTH CARE",48700.0000
Brookline,"EDUCATION (PRIMARY/SECONDARY)",40500.0000
Brooklyn,"ACCOUNTING, BANKING & FINANCE",150000.0000
Brooklyn,"COMPUTING OR TECH",128947.5000
Brooklyn,"MARKETING, ADVERTISING & PR",125000.0000
Brooklyn,"EDUCATION (HIGHER EDUCATION)",115250.0000
Brooklyn,"GOVERNMENT  & PUBLIC ADMINISTRATION",114000.0000
Brooklyn,"MEDIA & DIGITAL",100166.6667
Brooklyn,"ENGINEERING OR MANUFACTURING",100000.0000
Brooklyn,"SUPPLY CHAIN",98736.0000
Brooklyn,NONPROFITS,92750.0000
Brooklyn,LAW,92000.0000
Brooklyn,"EDUCATION (PRIMARY/SECONDARY)",91214.2857
Brooklyn,"BUSINESS OR CONSULTING",88775.0000
Brooklyn,"HEALTH CARE",79000.0000
Brooklyn,"PROFESSIONAL SERVICES / ARCHITECTURE",78000.0000
Brooklyn,"ART & DESIGN",77920.0000
Brooklyn,"SOCIAL WORK",64766.6667
Brooklyn,RETAIL,58589.5000
Brooklyn,FASHION/E-COMMERCE,58500.0000
Brooklyn,LIBRARIAN,58000.0000
Brooklyn,"PROPERTY OR CONSTRUCTION",45000.0000
Brooklyn,"WASTE AND RECYCLING",37000.0000
"Brooklyn (Wfh)","COMPUTING OR TECH",70000.0000
"Brooklyn Park","ENGINEERING OR MANUFACTURING",110000.0000
"Brooklyn Park, Mn","HEALTH CARE",96000.0000
Brookston,"EDUCATION (PRIMARY/SECONDARY)",38083.0000
Brooksville,"GOVERNMENT AND PUBLIC ADMINISTRATION",80000.0000
Brookville,"ENGINEERING OR MANUFACTURING",38000.0000
Broomfield,"COMPUTING OR TECH",112928.5714
Broomfield,"RECRUITMENT OR HR",86500.0000
Broomfield,"ENGINEERING OR MANUFACTURING",72200.0000
Broomfield,"ACCOUNTING, BANKING & FINANCE",55325.0000
Brownsville,"EDUCATION (PRIMARY/SECONDARY)",48475.0000
Brunswick,"SOCIAL WORK",86200.0000
Brunswick,"SALES OPERATIONS",75000.0000
Brunswick,"EDUCATION (HIGHER EDUCATION)",65000.0000
Brunswick,"HEALTH CARE",53000.0000
Brussels,"HEALTH CARE",170000.0000
Brussels,"ACCOUNTING, BANKING & FINANCE",114333.3333
Brussels,TRANSLATION,100000.0000
Brussels,"ENGINEERING OR MANUFACTURING",85000.0000
Brussels,"COMPUTING OR TECH",77375.0000
Brussels,"GOVERNMENT  & PUBLIC ADMINISTRATION",61200.0000
Brussels,"EDUCATION (PRIMARY/SECONDARY)",60000.0000
Brussels,INSURANCE,55680.0000
Brussels,"GOVERNMENT AND PUBLIC ADMINISTRATION",44800.0000
Brussels,"BUSINESS OR CONSULTING",40000.0000
Brussels,UNKNOWN,32400.0000
Brussels,NONPROFITS,29700.0000
Bryan,BIOTECHNOLOGY,52000.0000
"Bryan/College Station","EDUCATION (HIGHER EDUCATION)",51435.0000
"Bryn Mawr","HEALTH CARE",97000.0000
Bucharest,"ENGINEERING OR MANUFACTURING",80000.0000
Bucharest,"COMPUTING OR TECH",20300.0000
Buckhannon,"EDUCATION (PRIMARY/SECONDARY)",39820.0000
Buckinghamshire,"EDUCATION (PRIMARY/SECONDARY)",29420.0000
Budapest,"COMPUTING OR TECH",69241.0000
Budapest,NONPROFITS,45480.0000
"Buenos Aires","AGRICULTURE OR FORESTRY",114000.0000
Buffalo,"GOVERNMENT CONTRACTING R&D",100000.0000
Buffalo,"MEDIA & DIGITAL",95000.0000
Buffalo,"HEALTH CARE",93625.0000
Buffalo,"ENGINEERING OR MANUFACTURING",85500.0000
Buffalo,"EDUCATION (PRIMARY/SECONDARY)",83262.0000
Buffalo,"RECRUITMENT OR HR",79250.0000
Buffalo,"COMPUTING OR TECH",72500.0000
Buffalo,LAW,71333.3333
Buffalo,"EDUCATION (HIGHER EDUCATION)",70905.8000
Buffalo,"GOVERNMENT AND PUBLIC ADMINISTRATION",66500.0000
Buffalo,"ART & DESIGN",63000.0000
Buffalo,"BUSINESS OR CONSULTING",62000.0000
Buffalo,"ACCOUNTING, BANKING & FINANCE",61947.4286
Buffalo,NONPROFITS,54729.5385
Buffalo,"MARKETING, ADVERTISING & PR",47666.6667
Buffalo,INSURANCE,43500.0000
Buffalo,"SOCIAL WORK",42500.0000
Buffalo,"HOSPITALITY & EVENTS",40000.0000
Buffalo,"BEAUTY MANUFACTURING & EDUCATION",35360.0000
"Buffalo Grove","PROPERTY OR CONSTRUCTION",50000.0000
"Buffalo, Ny",INSURANCE,100000.0000
Burbank,"COMPUTING OR TECH",172000.0000
Burbank,ENTERTAINMENT,148000.0000
Burbank,"MEDIA & DIGITAL",135200.0000
Burbank,"ACCOUNTING, BANKING & FINANCE",89900.0000
Burbank,"ENGINEERING OR MANUFACTURING",70000.0000
Burbank,"HEALTH CARE",31000.0000
Burgenland,"COMPUTING OR TECH",30000.0000
Burgos,"HEALTH CARE",26000.0000
Burleson,"EDUCATION (PRIMARY/SECONDARY)",72500.0000
Burlingame,LAW,85000.0000
Burlingame,"HEALTH CARE",56000.0000
Burlington,"RECRUITMENT OR HR",130000.0000
Burlington,"COMPUTING OR TECH",129312.5000
Burlington,"UTILITIES & TELECOMMUNICATIONS",120000.0000
Burlington,"ENGINEERING OR MANUFACTURING",115000.0000
Burlington,"INTERNATIONAL DEVELOPMENT",101900.0000
Burlington,"MEDIA & DIGITAL",98000.0000
Burlington,"MEDICAL DEVICES",91155.0000
Burlington,"FOOD PROCESSING AND PACKAGING",84000.0000
Burlington,"EDUCATION (PRIMARY/SECONDARY)",83757.0000
Burlington,BIOTECH,80000.0000
Burlington,"BUSINESS OR CONSULTING",78040.0000
Burlington,"GOVERNMENT  & PUBLIC ADMINISTRATION",77800.0000
Burlington,"MARKETING, ADVERTISING & PR",71333.3333
Burlington,"GOVERNMENT AND PUBLIC ADMINISTRATION",70642.5000
Burlington,"HEALTH CARE",70333.3333
Burlington,"SOCIAL WORK",65666.6667
Burlington,"MINING & MINERAL PROCESSING",55000.0000
Burlington,"HOSPITALITY & EVENTS",55000.0000
Burlington,"PROPERTY OR CONSTRUCTION",55000.0000
Burlington,"ACCOUNTING, BANKING & FINANCE",52000.0000
Burlington,NONPROFITS,49443.0000
Burlington,ARCHITECTURE,48880.0000
Burlington,"EDUCATION (HIGHER EDUCATION)",33000.0000
Burlington,RETAIL,31946.6667
"Burlington, Ma","COMPUTING OR TECH",100000.0000
Burly,NONPROFITS,68571.0000
Burnaby,"ACCOUNTING, BANKING & FINANCE",90100.0000
Burnaby,"UTILITIES & TELECOMMUNICATIONS",63000.0000
"Burnsville, Mn","EDUCATION (PRIMARY/SECONDARY)",45000.0000
Butler,"EDUCATION (PRIMARY/SECONDARY)",23337.0000
"Byron Bay","EDUCATION (PRIMARY/SECONDARY)",78000.0000
"Byron Bay","MARKETING, ADVERTISING & PR",60300.0000
Ca,"ENGINEERING OR MANUFACTURING",114400.0000
Calgary,ENERGY,185000.0000
Calgary,"OIL & GAS",160000.0000
Calgary,"OIL AND GAS",125000.0000
Calgary,"ENVIRONMENT - OIL  & GAS",124800.0000
Calgary,"GOVERNMENT  & PUBLIC ADMINISTRATION",117800.0000
Calgary,"COMPUTING OR TECH",107462.7143
Calgary,"ACCOUNTING, BANKING & FINANCE",99777.7778
Calgary,"UTILITIES & TELECOMMUNICATIONS",98625.0000
Calgary,"MARKETING, ADVERTISING & PR",95000.0000
Calgary,"TRANSPORT OR LOGISTICS",93875.0000
Calgary,"EDUCATION (PRIMARY/SECONDARY)",92000.0000
Calgary,"TRADES (SUPPLY CHAIN) OIL AND GAS",91160.0000
Calgary,INSURANCE,89000.0000
Calgary,"ENGINEERING OR MANUFACTURING",83962.0000
Calgary,"GOVERNMENT AND PUBLIC ADMINISTRATION",83190.6667
Calgary,"HEALTH CARE",81000.0000
Calgary,ARCHITECTURE,80000.0000
Calgary,"BUSINESS OR CONSULTING",78750.0000
Calgary,NONPROFITS,70313.3333
Calgary,SALES,68133.3333
Calgary,"RECRUITMENT OR HR",67500.0000
Calgary,"EDUCATION (HIGHER EDUCATION)",63970.6250
Calgary,LAW,59346.6667
Calgary,"PROPERTY OR CONSTRUCTION",56750.0000
Calgary,"SOCIAL WORK",53500.0000
Calgary,"ENGINEERING  OR MANUFACTURING",52500.0000
Calgary,PUBLISHING,52000.0000
Calgary,"HOSPITALITY & EVENTS",49000.0000
Calgary,RETAIL,35000.0000
"Calhoun, Ga","ENGINEERING OR MANUFACTURING",56000.0000
California,"EDUCATION (PRIMARY/SECONDARY)",18000.0000
California.,"RECRUITMENT OR HR",60000.0000
"Calumet City","ACCOUNTING, BANKING & FINANCE",80000.0000
Camarillo,"ENGINEERING OR MANUFACTURING",92000.0000
Camarillo,"COMPUTING OR TECH",69600.0000
"Camarillo, Ca",NONPROFITS,37000.0000
Cambridge,"PHARMA RESEARCH",180000.0000
Cambridge,"RESEARCH AND DEVELOPMENT",162500.0000
Cambridge,PHARMACEUTICAL/BIOTECH,160000.0000
Cambridge,SALES,148500.0000
Cambridge,BIOTECH,128514.5714
Cambridge,"GOVERNMENT AND PUBLIC ADMINISTRATION",126000.0000
Cambridge,BIOPHARMA,121000.0000
Cambridge,BIOTECH/PHARMA,120500.0000
Cambridge,"BIOMEDICAL RESEARCH",120000.0000
